text,sentiment,positive_score,negative_score,positive_fuzzy_Low,positive_fuzzy_Medium,positive_fuzzy_High,negative_fuzzy_Low,negative_fuzzy_Medium,negative_fuzzy_High,fuzzy_output,defuzzified_value,final_sentiment
omg so bored amp my tattos are so itchy help aha,0,0.185,0.319,0.0,0.9580830527953785,0.04191694720462152,0.0,0.7623770633524202,0.23762293664757997,0.0,5.209842823086758,Neutral
i m itchy and miserable,0,0.0,0.841,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6700066800267186,Negativo
no i m not itchy for now maybe later lol,0,0.391,0.186,0.0,0.6572216063382932,0.34277839366170687,0.0,0.9566225603368491,0.04337743966315106,0.6572216063382932,4.597344878590213,Neutral
rt i love the nerdy stanford human biology videos makes me miss school,1,0.263,0.175,0.0,0.8441646410300744,0.1558353589699257,0.0,0.9726879773806739,0.027312022619326096,0.5630218404426902,4.862319866876177,Neutral
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,0.145,0.178,0.07229355836147672,0.9277064416385232,0.0,0.0,0.9683065000050854,0.03169349999491472,0.0,4.964468337238365,Neutral
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,0.245,0.0,0.0,0.8704535052836061,0.12954649471639396,0.0,0.0,0.0,0.0,5.836671673676081,Neutral
is going to sleep then on a bike ride,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
cannot sleep my tooth is aching,0,0.0,0.39,0.0,0.0,0.0,0.0,0.6586820987968227,0.34131790120317734,0.0,1.670006680026721,Negativo
blah blah blah same old same old no plans today going back to sleep i guess,0,0.0,0.368,0.0,0.0,0.0,0.0,0.6908129328844727,0.30918706711552746,0.0,1.6700066800267195,Negativo
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,0.146,0.32,0.06589558290190069,0.9341044170980993,0.0,0.0,0.7609165708938905,0.2390834291061095,0.0,5.190745801520415,Neutral
obama administration must stop bonuses to aig ponzi schemers,0,0.281,0.172,0.0,0.8178757767765427,0.18212422322345745,0.0,0.9770694547562627,0.02293054524373747,0.6973793250937868,4.823420391423739,Neutral
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,0.0,0.098,0.0,0.0,0.0,0.37299840496154973,0.6270015950384503,0.0,0.0,1.670006680026722,Negativo
shaunwoo hate n on aig,0,0.0,0.552,0.0,0.0,0.0,0.0,0.42208232051503713,0.577917679484963,0.0,1.6700066800267195,Negativo
you will not regret going to see star trek it was awesome,1,0.391,0.0,0.0,0.6572216063382932,0.34277839366170687,0.0,0.0,0.0,0.0,5.836671673676084,Neutral
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,0.0,0.13,0.0,0.0,0.0,0.16826319025511696,0.8317368097448831,0.0,0.0,1.6700066800267224,Negativo
highly recommend by malcolm gladwell,1,0.411,0.0,0.0,0.6280117571677024,0.37198824283229764,0.0,0.0,0.0,0.0,5.836671673676089,Neutral
blink by malcolm gladwell amazing book and the tipping point,1,0.297,0.0,0.0,0.7945078974400701,0.20549210255993003,0.0,0.0,0.0,0.0,5.83667167367607,Neutral
malcolm gladwell might be my new man crush,1,0.0,0.186,0.0,0.0,0.0,0.0,0.9566225603368491,0.04337743966315106,0.0,1.67000668002672,Negativo
omg the commercials alone on espn are going to drive me nuts,0,0.0,0.301,0.0,0.0,0.0,0.0,0.788665927605952,0.21133407239404822,0.0,1.6700066800267215,Negativo
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,0.362,0.0,0.0,0.6995758876356499,0.3004241123643502,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
hello twitter api,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
because the twitter api is slow and most client s aren t good,0,0.24,0.0,0.0,0.8777559675762538,0.12224403242374624,0.0,0.0,0.0,0.0,5.836671673676083,Neutral
yahoo answers can be a butt sometimes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
is scrapbooking with nic d,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
rt five things wolfram alpha does better and vastly different than google,1,0.209,0.0,0.0,0.9230312337906696,0.07696876620933048,0.0,0.0,0.0,0.0,5.836671673676076,Neutral
just changed my default pic to a nike basketball cause bball is awesome,1,0.272,0.0,0.0,0.8310202089033085,0.1689797910966916,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
rt was just told that nike layoffs started today,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
back when i worked for nike we had one fav word just do it,1,0.2,0.0,0.0,0.9361756659174355,0.06382433408256465,0.0,0.0,0.0,0.0,5.836671673676082,Neutral
by the way i m totally inspired by this freaky nike commercial,1,0.25,0.179,0.0,0.8631510429909585,0.13684895700904165,0.0,0.9668460075465557,0.03315399245344426,0.4542562576298977,4.892175810033512,Neutral
class the d is supposed to come today,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
needs someone to explain lambda calculus to him,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,0.1,0.142,0.36020245404239765,0.6397975459576023,0.0,0.09148748474020481,0.9085125152597952,0.0,0.0,4.626783910250244,Neutral
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profit is of doom universal hempz cracka,1,0.19,0.089,0.0,0.9507805905027309,0.049219409497269224,0.43058018409773396,0.569419815902266,0.0,0.569419815902266,5.410162121217738,Neutral
yeah i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,0.097,0.106,0.3793963804211257,0.6206036195788742,0.0,0.32181460128494155,0.6781853987150585,0.0,0.0,4.917860868125243,Neutral
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,0.402,0.0,0.0,0.6411561892944683,0.35884381070553184,0.0,0.0,0.0,0.0,5.836671673676089,Neutral
work til pm let us go lakers,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
damn you north korea,0,0.0,0.474,0.0,0.0,0.0,0.0,0.5360007322803414,0.4639992677196587,0.0,1.670006680026721,Negativo
can we just go ahead and blow north korea off the map already,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
north korea please cease this douchebaggery china doesn t even like you anymore,0,0.324,0.0,0.0,0.7550746010597723,0.24492539894022766,0.0,0.0,0.0,0.0,5.836671673676079,Neutral
why the hell is pelosi in freakin china and on who ise dime,0,0.0,0.277,0.0,0.0,0.0,0.0,0.8237177466106608,0.17628225338933928,0.0,1.670006680026718,Negativo
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,0.0,0.184,0.0,0.0,0.0,0.0,0.9595435452539082,0.040456454746091976,0.0,1.6700066800267197,Negativo
insects have infected my spinach plant,0,0.0,0.39,0.0,0.0,0.0,0.0,0.6586820987968227,0.34131790120317734,0.0,1.670006680026721,Negativo
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,0.206,0.117,0.0,0.9274127111662582,0.07258728883374185,0.25143687122960523,0.7485631287703948,0.0,0.569419815902266,5.198275761793669,Neutral
just got back from church and i totally hate insects,0,0.0,0.333,0.0,0.0,0.0,0.0,0.7419301689330066,0.25806983106699355,0.0,1.6700066800267213,Negativo
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,0.189,0.28,0.0,0.9522410829612603,0.04775891703873968,0.0,0.8193362692350722,0.18066373076492792,0.0,5.144571660923803,Neutral
omgg i ohhdee want mcdonalds damn i wonder if it is open lol,1,0.277,0.182,0.0,0.8237177466106608,0.17628225338933928,0.0,0.9624645301709672,0.03753546982903289,0.6078076686597224,4.847394762459484,Neutral
history exam studying ugh,0,0.0,0.483,0.0,0.0,0.0,0.0,0.5228563001535755,0.4771436998464246,0.0,1.6700066800267221,Negativo
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,0.0,0.394,0.0,0.0,0.0,0.0,0.6528401289627046,0.3471598710372955,0.0,1.6700066800267208,Negativo
higher physics exam tommorow not lookin forward to it much,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
it s a bank holiday yet i m only out of work now exam season sucks,0,0.178,0.164,0.0,0.9683065000050854,0.03169349999491472,0.0,0.9887533944244988,0.011246605575501178,0.08957165643406423,4.986240786340603,Neutral
cheney and bush are the real culprit is,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,0.0,0.401,0.0,0.0,0.0,0.0,0.6426166817529978,0.3573833182470023,0.0,1.6700066800267186,Negativo
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,0.0,0.641,0.0,0.0,0.0,0.0,0.29209849170590807,0.707901508294092,0.0,1.6700066800267224,Negativo
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,0.099,0.245,0.3666004295019737,0.6333995704980263,0.0,0.0,0.8704535052836061,0.12954649471639396,0.0,4.665294914407576,Neutral
is twitter s connections api broken some tweets didn t make it to twitter,0,0.0,0.22,0.0,0.0,0.0,0.0,0.9069658167468447,0.09303418325315543,0.0,1.6700066800267204,Negativo
i srsly hate the stupid twitter api timeout thing so annoying,0,0.0,0.602,0.0,0.0,0.0,0.0,0.3490576975885602,0.6509423024114399,0.0,1.670006680026717,Negativo
i really liked learning jquery book is worth a look too,1,0.416,0.0,0.0,0.6207092948750548,0.37929070512494534,0.0,0.0,0.0,0.0,5.836671673676081,Neutral
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,0.166,0.0,0.0,0.9858324095074398,0.01416759049256026,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
goodby silverstein agency new site great,1,0.451,0.0,0.0,0.5695920588265208,0.4304079411734793,0.0,0.0,0.0,0.0,5.836671673676067,Neutral
rt goodby silverstein s new site i enjoy it nice find,1,0.462,0.0,0.0,0.5535266417826958,0.4464733582173043,0.0,0.0,0.0,0.0,5.836671673676079,Neutral
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,0.267,0.0,0.0,0.8383226711959562,0.16167732880404387,0.0,0.0,0.0,0.0,5.8366716736760775,Neutral
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,0.286,0.0,0.0,0.8105733144838949,0.1894266855161051,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
zomg i have a g,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
ok so lots of buzz from io but how lucky are they a free g,1,0.494,0.0,0.0,0.5067908831097505,0.49320911689024954,0.0,0.0,0.0,0.0,5.8366716736760855,Neutral
just got a free g android at google i o,1,0.398,0.0,0.0,0.6469981591285864,0.3530018408714137,0.0,0.0,0.0,0.0,5.836671673676075,Neutral
guess i ll be retiring my g and start using my developer g woot googleio,1,0.203,0.0,0.0,0.9317941885418467,0.06820581145815327,0.0,0.0,0.0,0.0,5.836671673676077,Neutral
i am happy for philip being at googleio today,1,0.346,0.0,0.0,0.7229437669721226,0.2770562330278775,0.0,0.0,0.0,0.0,5.836671673676084,Neutral
lakers played great cannot wait for thursday night lakers vs,1,0.448,0.0,0.0,0.5739735362021093,0.4260264637978907,0.0,0.0,0.0,0.0,5.836671673676075,Neutral
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at it is best,1,0.248,0.122,0.0,0.8660720279080175,0.13392797209198257,0.2194469939317252,0.7805530060682748,0.0,0.7805530060682748,5.103768357268454,Neutral
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day argh,0,0.0,0.149,0.0,0.0,0.0,0.046701656523172604,0.9532983434768274,0.0,0.0,1.6700066800267184,Negativo
watching night at the museum lmao,1,0.438,0.0,0.0,0.5885784607874048,0.4114215392125953,0.0,0.0,0.0,0.0,5.8366716736760775,Neutral
i loved night at the museum,1,0.494,0.0,0.0,0.5067908831097505,0.49320911689024954,0.0,0.0,0.0,0.0,5.8366716736760855,Neutral
just got back from the movies went to see the new night at the museum with rachel it was good,1,0.132,0.0,0.1554672393359649,0.844532760664035,0.0,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
i will take you on a date to see night at the museum whenever you want it looks so good,1,0.24,0.0,0.0,0.8777559675762538,0.12224403242374624,0.0,0.0,0.0,0.0,5.836671673676083,Neutral
no watching the night at the museum getting really good,1,0.238,0.164,0.0,0.8806769524933129,0.11932304750668715,0.0,0.9887533944244988,0.011246605575501178,0.4734501840086256,4.889760648440108,Neutral
night at the museum wolverine and junk food perfect monday,1,0.291,0.0,0.0,0.8032708521912474,0.19672914780875278,0.0,0.0,0.0,0.0,5.836671673676076,Neutral
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,0.388,0.05,0.0,0.6616030837138818,0.3383969162861183,0.6801012270211988,0.31989877297880115,0.0,0.31989877297880115,4.979646467682841,Neutral
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,0.458,0.0,0.0,0.559368611616814,0.4406313883831861,0.0,0.0,0.0,0.0,5.836671673676079,Neutral
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,0.088,0.098,0.43697815955731,0.56302184044269,0.0,0.37299840496154973,0.6270015950384503,0.0,0.0,4.898257264513285,Neutral
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,0.203,0.0,0.0,0.9317941885418467,0.06820581145815327,0.0,0.0,0.0,0.0,5.836671673676077,Neutral
oh yes but if gm dies it will only be worth more boo hahaha,0,0.464,0.0,0.0,0.5506056568656367,0.4493943431343634,0.0,0.0,0.0,0.0,5.836671673676075,Neutral
time warner cable is down again rd time since memorial day bummer,0,0.0,0.191,0.0,0.0,0.0,0.0,0.9493200980442013,0.050679901955798766,0.0,1.6700066800267193,Negativo
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,0.152,0.065,0.027507730144444516,0.9724922698555555,0.0,0.5841315951275585,0.41586840487244153,0.0,0.41586840487244153,5.408383088916218,Neutral
no my dvr just died and i was only half way through the ea presser hate you time warner,0,0.0,0.388,0.0,0.0,0.0,0.0,0.6616030837138818,0.3383969162861183,0.0,1.6700066800267208,Negativo
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0,0.0,0.343,0.0,0.0,0.0,0.0,0.7273252443477111,0.272674755652289,0.0,1.6700066800267188,Negativo
time warner has the worse customer service ever i will never use them again,0,0.0,0.205,0.0,0.0,0.0,0.0,0.9288732036247878,0.07112679637521231,0.0,1.6700066800267195,Negativo
time warner is the devil worst possible time for the internet to go out,0,0.0,0.415,0.0,0.0,0.0,0.0,0.6221697873335843,0.3778302126664158,0.0,1.6700066800267208,Negativo
fuck no internet damn time warner,0,0.0,0.737,0.0,0.0,0.0,0.0,0.1518912156870722,0.848108784312928,0.0,1.6700066800267213,Negativo
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtf,0,0.0,0.299,0.0,0.0,0.0,0.0,0.791586912523011,0.2084130874769891,0.0,1.6700066800267206,Negativo
i hate time warner so wish i had vios cannot watch the fricken mets game w o buffering i feel like im watching free internet porn,0,0.31,0.123,0.0,0.7755214954791859,0.22447850452081408,0.21304901847214916,0.7869509815278508,0.0,0.7755214954791859,4.992399278242612,Neutral
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0,0.207,0.115,0.0,0.9259522187077287,0.0740477812922714,0.2642328221487573,0.7357671778512427,0.0,0.5886137422809941,5.210984667708001,Neutral
time warner s hd line up is crap,0,0.0,0.302,0.0,0.0,0.0,0.0,0.7872054351474222,0.21279456485257775,0.0,1.6700066800267206,Negativo
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,0.0,0.315,0.0,0.0,0.0,0.0,0.7682190331865384,0.2317809668134618,0.0,1.670006680026719,Negativo
time warner cable slogan where calling it a day at pm happens,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
recovering from surgery wishing was here,0,0.275,0.0,0.0,0.8266387315277198,0.1733612684722802,0.0,0.0,0.0,0.0,5.836671673676079,Neutral
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,0.099,0.282,0.3666004295019737,0.6333995704980263,0.0,0.0,0.8164152843180131,0.18358471568198692,0.0,4.739035744964334,Neutral
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0,0.195,0.357,0.0,0.943478128210083,0.05652187178991693,0.0,0.7068783499282976,0.2931216500717025,0.0,5.257103686787589,Neutral
my dentist is great but she s expensive,0,0.298,0.0,0.0,0.7930474049815405,0.20695259501845958,0.0,0.0,0.0,0.0,5.8366716736760855,Neutral
is studing math tomorrow exam and dentist,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
my dentist was wrong wrong,0,0.0,0.674,0.0,0.0,0.0,0.0,0.24390224057443316,0.756097759425567,0.0,1.6700066800267204,Negativo
going to the dentist later,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0,0.184,0.117,0.0,0.9595435452539082,0.040456454746091976,0.25143687122960523,0.7485631287703948,0.0,0.4286643557915935,5.2256795125759785,Neutral
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,0.0,0.15,0.0,0.0,0.0,0.04030368106359657,0.9596963189364034,0.0,0.0,1.6700066800267193,Negativo
safeway is very rock n roll tonight,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
the safeway bathroom still smells like ass,0,0.227,0.318,0.0,0.8967423695371379,0.10325763046286224,0.0,0.7638375558109496,0.2361624441890504,0.0,5.15324496621552,Neutral
at safeway on elkhorn they move like they re dead,0,0.169,0.291,0.0,0.9814509321318512,0.018549067868148885,0.0,0.8032708521912474,0.19672914780875278,0.0,5.18684664405936,Neutral
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,1,0.388,0.1,0.0,0.6616030837138818,0.3383969162861183,0.36020245404239765,0.6397975459576023,0.0,0.6397975459576023,5.038807586367698,Neutral
found nothing at nike factory off to banana republic outlet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
is lovin his nike already and that s only from running on the spot in his bedroom,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
i finally got around to using jquery to make my bio collapse yay for slide animations,1,0.173,0.163,0.0,0.975608962297733,0.024391037702267013,0.0,0.9902138868830284,0.009786113116971636,0.06397975459576011,4.992174859733489,Neutral
right lol we ll get there i have high expectations warren buffet style,1,0.203,0.0,0.0,0.9317941885418467,0.06820581145815327,0.0,0.0,0.0,0.0,5.836671673676077,Neutral
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,1,0.194,0.0,0.0,0.9449386206686128,0.05506137933138739,0.0,0.0,0.0,0.0,5.836671673676074,Neutral
warren buffet became for a time the riche ist man in the united states not by working but investing in big idea which lead to the fortune,1,0.071,0.0,0.5457437423701024,0.4542562576298976,0.0,0.0,0.0,0.0,0.0,5.836671673676078,Neutral
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,1,0.254,0.0,0.0,0.8573090731568402,0.14269092684315982,0.0,0.0,0.0,0.0,5.8366716736760775,Neutral
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,0.384,0.0,0.0,0.667445053548,0.3325549464520001,0.0,0.0,0.0,0.0,5.8366716736760775,Neutral
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0,0.191,0.146,0.0,0.9493200980442013,0.050679901955798766,0.06589558290190069,0.9341044170980993,0.0,0.2879088956809211,5.02226427215972,Neutral
time warner cable phone reps r dumber than nails ugh cable was working mins ago now it is not wtf,0,0.126,0.217,0.19385509209342108,0.8061449079065789,0.0,0.0,0.9113472941224333,0.08865270587756681,0.0,4.8825038865779025,Neutral
we tried but time warner wasn t being nice so we recorded today,0,0.252,0.0,0.0,0.8602300580738993,0.13976994192610073,0.0,0.0,0.0,0.0,5.836671673676055,Neutral
omg time warner f ed up my internet install instead of today it is now next saturday another week w o internet amp ehfa v fhg fml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
wth i have never seen a line this long at time warner before ugh,0,0.0,0.383,0.0,0.0,0.0,0.0,0.6689055460065295,0.33109445399347054,0.0,1.6700066800267197,Negativo
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,0,0.146,0.123,0.06589558290190069,0.9341044170980993,0.0,0.21304901847214916,0.7869509815278508,0.0,0.1471534355702485,5.162624930551584,Neutral
naive bayes using em for text classification really frustrating,0,0.0,0.431,0.0,0.0,0.0,0.0,0.5988019079971116,0.4011980920028885,0.0,1.6700066800267217,Negativo
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,1,0.049,0.0,0.6864992024807749,0.31350079751922516,0.0,0.0,0.0,0.0,0.0,5.8366716736760775,Neutral
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0,0.227,0.126,0.0,0.8967423695371379,0.10325763046286224,0.19385509209342108,0.8061449079065789,0.0,0.6461955214171784,5.106043238666852,Neutral
just blocked united blood services using google voice they call more than those car warranty guys,0,0.148,0.111,0.053099631982748634,0.9469003680172514,0.0,0.28982472398706144,0.7101752760129386,0.0,0.2367250920043128,5.256315422303421,Neutral
